40
A.J. Saudin
Paul Sun-Hyung Lee
Paulo Costanzo
Pepper Martin
Percy Hynes White
Percy Rodriguez
Peter Blais
Peter Cullen
Peter Cureton
Peter Donaldson
Peter Donat
Peter Flemming
Peter Helm
Peter Kastner
Peter Kelamis
Peter Keleghan
Peter MacNeill
Peter Messaline
Peter Miller
Peter Mooney
Peter New
Peter Oldring
Peter Outerbridge
Peter Shinkoda
Peter Spence
Peter Stebbings
Peter Wildman
Peter Williams
Peter Wingfield
Phil Burke
Phil McCordic
Philip Akin
Philip DeWilde
Philip Gilbert
Philip Nozuka
Phillip Lewitski
Rainbow Sun Francks
Rajiv Surendra
Ralph Endersby
Wayne Robson
Liam James
Liam Titcomb
Marc-André Grondin
Marc Bendavid
Marc Donato
Marc Favreau
Marc Fiorini
Marc Labrèche
Marc Marut
Marc Menard
Marc Messier
Marc Minardi
Marc Worden
Marcel Sabourin
Marcel Simoneau
Marco Grazzini
Marcus Rosner
Omar Sharif Jr.
Omari Newton
Page Fletcher
Rizwan Manji
Roark Critchlow
Rob Archer
Rob Raco
Rob Stewart
Rob deLeeuw
Robb Wells
Robbie Amell
Robert Baldwin
Robert Beatty
Robert Bockstael
Robert Chafe
Robert Christie
Robert Clark
Robert Clothier
Robert Desroches
Robert Ito
Robert Jezek
Robert Joy
Robert Lalonde
Robert Maillet
Robert Moloney
Robert Naylor
Robert Smith
Robert Tinkler
Robert Wisden
Robin Dunne
Robin Gammell
Robin Ward
Xavier Dolan
Xavier Petermann
Noah Cappe
Noah Danby
Noah Mills
Noah Reid
Noam Jenkins
Noam Zylberman
Nobu and Mio Adilman
Noel Callahan
Noel Fisher
Nolan Gerard Funk
Norm Berketa
Norm Macdonald
Norm Spencer
Norman Yeung
Normand Brathwaite
Normand D'Amour
Rhys Ward
Rhys Williams
Ricardo Hoyos
Rich Little
Richard Avonde
Richard Blaimert
Richard Carlyle
Richard Chevolleau
Richard Collins
Richard Darbois
Richard Donat
Richard Easton
Richard Eden
Romano Orzari
Ron James
Ron Lea
Ron Pardo
Ron Pederson
Ron Sparks
Ron White
Ronan O'Casey
Ross Hull
Ross Petty
Rossif Sutherland
Sage Brocklebank
Sandy Robson
Terry Chen
Terry David Mulligan
Terry McGurrin
Terry Moore
The Unknown Comic
Von Flores
Walker Boone
Wendell Smith
Wes Mack
Wesley Morgan
