Maliq Johnson
Mark Feuerstein
Mark Forest
Mark Moses
Mark Ruffalo
Mark Rydell
Marlon Wayans
Martin Azarow
Martin Balsam
Martin Berkeley
Martin Charnin
Martin E. Brooks
Martin Kove
Martin Landau
Martin Lawrence
Mekhi Phifer
Mel Brooks
Mel Welles
Michael Pitt
Michael Rapaport
Michael Raynor
Michael Sacks
Michael Shea
Michael Shulman
Michael Sinterniklaas
Michael Strahan
Michael Strong
Michael Tucci
Michael Vale
Michael Weatherly
Michael Weston
Michael Wolfe
Michael Wright
Michael Zorek
Michel Gill
Mick Hazen
Mickey Freeman
Mickey Manners
Mickey Rooney
Pico Alexander
Seth Peterson
Seymore Butts
Shad Gaspard
Sid Caesar
Sid Melton
Sid Raymond
Sidney Armus
Sidney Luft
Sidney Poitier
Sidney Rankin Drew
Sidney Shapiro
Sidney Skolsky
Sidney Slon
Silvestre Rasuk
Simon Gillis
Simon Oakland
Spalding Gray
Spencer Breslin
Spencer Fox
Spencer Treat Clark
Spike Lee
Stefan Gierasch
Stelio Savante
Stephen Blackehart
Stephen Elliott
Stephen Fishbach
Stephen Lang
Stephen McNally
Stephen Strimpell
Steve Buscemi
Steve Franken
Steve Gravers
Steve Guttenberg
Steve James
Steve Landesberg
Steve Lawrence
Sylvester Stallone
Tom Brown
Tom Deckman
Tom Drake
Tom Gilson
Tom Herbert
Tom Kennedy
Tom Ligon
Tom McCleister
Tom Pedi
Tom Quinn
Tom Sherak
Tom Wiggin
Tom X. Chao
Tommy Abbott
Tommy Kelly
Tommy Norden
Tommy Pope
Tonio Selwart
Tony Azito
Tony Barrett
Tony Curtis
Tony Danza
Tony Darrow
Yaphet Kotto
Charlie Sheen
Chazz Palminteri
Chester Morris
Chevy Chase
Chico Marx
Chris DeRose
Chris Elliott
Chris Knowings
Chris Noth
Chris Orbach
Chris Phillips
Chris Riggi
Chris Rock
Chris Rush
Chris Weitz
Christian Camargo
Christian Scheider
Christian Slater
Christopher Abbott
Christopher Collins
Christopher Cousins
Christopher Dark
Christopher Gartin
Christopher Guest
Christopher John Fields
Christopher Knight
Christopher Kromer
Christopher Mayer
Christopher McDonald
Christopher Moynihan
Christopher Reeve
Christopher Walken
Chuck Connors
Chuck Low
Chuck McCann
Chuck McKibben
Chuck Zito
Cinqué Lee
Clarence Williams III
Clarke Peters
Clayton Landey
Cliff Gorman
Clifton James
D'Chrome Foster
D'Urville Martin
D. B. Woodside
DJ Hazard
Damaine Radcliff
Damian Maffei
Damon Wayans
Dan Brenner
Dan Bucatinsky
Dan Dailey
Dan Fogler
Dan Frazer
Dan Futterman
Dan Grimaldi
Dan Hedaya
Dan Lauria
Dan Shor
Dane Clark
Daniel Benzali
Daniel Franzese
Daniel Tay
Danny Aiello
Danny Arnold
Danny Burstein
Danny Dare
Danny Goldman
Danny Kaye
Danny Webb
Darrell M. Smith
Darrin Henson
Daryl Mitchell
Dash Mihok
Dashiell Eaves
Dave Attell
Dave Barry
Davi Santos
David Brian
David Burns
David Byrne
David Caruso
David Cassidy
David Downing
David Duchovny
David Fierro
David Gallagher
David Harris
David Healy
David Herman
David Hess
David Kessler
David Krumholtz
David Lander
David Landsberg
David Margulies
David McCallum
David Moscow
David Oliver Cohen
David Opatoshu
David Proval
David Schwimmer
David Selby
David Sheiner
David Shepherd
David Valcin
David Warfield
David Zayas
Dayton Allen
DeWolf Hopper
Dean Devlin
Devin Ratray
Dhanish Karthik
Dick Cusack
Dick Kallman
Dick Miller
Dick O'Neill
Dick Van Patten
Dick Yarmy
Dick York
Dwayne Wayans
Dwight Deere Wiman
Dylan O'Brien
Dylan Riley Snyder
E. J. Bonilla
Earl Hammond
Ed Alberian
Ed Asner
Ed Bishop
Ed Brady
Ed Gardner
Ed Marinaro
Edd Byrnes
Eddie Bracken
Eddie Cahill
